questions,answers
what do you think of our new teacher,professor wood i think he is a brilliant scientist
i guess so,it gives me great pleasure to introduce mr eh mr
it gives me great pleasure to introduce mr eh mr,miss
miss,yeah may i introduce mis eh miss
yeah may i introduce mis eh miss,my name is jane brown
my name is jane brown,oh yeah would you please welcome miss jan brown
thanks but i am a lousy typist,we scored six goals
we scored six goals,i do not believe it
i do not believe it,and i score three of them
and i score three of them,you are not serious
you are not serious,we had extra time of course
we had extra time of course,i can believe that
are you serious,yes i mean it
yes i mean it,but why did i do anything wrong
but why did i do anything wrong,no we are just too different this isn t working
but i still love you,i m sorry
i knew this would happen some day,then why didn t you talk to me
then why didn t you talk to me,well it s not all my fault anna
shall we keep pur friendship,sure let s just be friends
sure let s just be friends,who s that
and i heard that italian men have very active libidos,hi lander what is wrong
hi lander what is wrong,i can hardly make ends meet these days
you look a bit dull today what is up,well my mum lost her job yesterday
thank you i just hope she will not feel pressed,you do not look too well what is going on
let me tell you what happened to my homework,ok go ahead what is the excuse this time
ok go ahead what is the excuse this time,actually i did it but then it got lost
actually i did it but then it got lost,could you have gotten it done at another time
could you have gotten it done at another time,yes i could
i will make it up early next week,that would work but do not let it happen again
that would work but do not let it happen again,i will try
do you want to try your hand at tennis,certainly i do
certainly i do,it seems you are very fond of it
it seems you are very fond of it,i would be happy to do something new
hi nancy how are you doing,hi tom want a cup of coffee
oh hey did you look in the classified ads,you mean used car
you mean used car,no ah single sellers
what room is it,it s
possibly,mary today is a great day for you
mary today is a great day for you,how nice of you to remember
how nice of you to remember,oh here s a little token of my affection
oh here s a little token of my affection,you are so thoughtful thank you
are you going to go right away,i am leaving right now
goodbye and try not to miss any more school,an interesting meeting is not it
an interesting meeting is not it,yes very i thought the last speaker was especially good
how do you do i am ted nugent,sorry what was your last name again
ok i am tom,glad to meet you
glad to meet you,and what do you do ted
and what do you do ted,me i am in the car business
me i am in the car business,salesman
salesman,yes that is right and how about you
yes that is right and how about you,i work for american airlines
i work for american airlines,oh really what do you do there exactly
oh really what do you do there exactly,i am in the personnel department
thank you for your delicious meal,tell me why you saw the movie twice
you bet it,did you get a nice tree
there we are about done,let s switch the lights on
let s switch the lights on,ok here goes
have the aerobic classes any effect on you,sure great effect my weight has dropped from pounds to
sure great effect my weight has dropped from pounds to,congratulations that is really something beyond my imagination
can we have dinner together sometime this weekend,ok you name the day
ok you name the day,how about the second of march
how about the second of march,what day is that
what day is that,it s friday
it s friday,good where shall we meet
good where shall we meet,i cannot stay here any more minutes
i cannot stay here any more minutes,what is wrong with you
you can talk with him,what does she do
she takes classes in accounting and business,you must be wily it s nice to meet you
you must be wily it s nice to meet you,nice to meet you mr wilson
nice to meet you mr wilson,tim please please be seated
tim please please be seated,thank you
well i think i am ready for new challenges,what about you emily have you dated anyone recently
that is too bad what happened,well that is a long story
well that is a long story,daniel you can not spit the gum everywhere
daniel you can not spit the gum everywhere,come on just a little piece
come on just a little piece,do you know how many people chew gum everyday
do you know how many people chew gum everyday,i have no idea
i have no idea,just in beijing people consume pieces of gum every day
just in beijing people consume pieces of gum every day,that is amazing
is my hair done yet,yeah i just need to make the final touches
yeah i just need to make the final touches,how long until you are finished
how long until you are finished,i am finished what do you think
i am finished what do you think,i like my hair so much
i like my hair so much,do you really
do you really,it s beautiful
it s beautiful,well thank you very much
well thank you very much,how much is it for my hair
how much is it for my hair,you owe me
you owe me,thanks for everything
thanks for everything,you are very welcome come back again
i could have suzy stay at my place,i do not want to do that to you karen
i do not want to do that to you karen,why not
i am sure management is on top of it,you are not being a good sport about this
you are not being a good sport about this,that is because you cheated
that is because you cheated,i never cheat
i never cheat,yes you do
yes you do,hi i am lucas i just moved in next door
that would be wonderful thanks,what s your favourite ball sport
who s your favourite player,i don t really have one but i support huston
i don t really have one but i support huston,do they have a good team
i am sorry but i can not go,why not
why not,i have to see my daughter
i have to see my daughter,when poyou have to see her
when poyou have to see her,i have an appointment at one fifteen
i have an appointment at one fifteen,i like the kid he s so lovely
i like the kid he s so lovely,how old is he
how old is he,twelve he s very sensible for his age
twelve he s very sensible for his age,time flies
time flies,you are telling me
i hope to go there someday,gino do you really need to go
gino do you really need to go,yeah it s must for me
yeah it s must for me,but do not forget to give me a ring
but do not forget to give me a ring,i will not mom
i will not mom,take care of yourself
take care of yourself,i will bye mom
i will bye mom,bye my boy
bye my boy,john got a heart attack last night
mind your own business,have you heard about the new iphone
how much do they cost,not much at all i think it s about dollars
not much at all i think it s about dollars,you are right that is not bad at all
you are right that is not bad at all,do you have an ipod
do you need help with something,i m looking for this book
i m looking for this book,is there something wrong
is there something wrong,i don t see it on the shelf
i don t see it on the shelf,did you check the computer
did you check the computer,i already looked
i already looked,did it say anything
i m sure i can get it from another library,could you do that
that s great thank you so much,hello bill what is new
hello bill what is new,bob and mary are back together
bob and mary are back together,i am glad to hear it
i am glad to hear it,me too they are such a nice couple
me too they are such a nice couple,hey robert what are you doing this weekend
hey robert what are you doing this weekend,i did not have any big plans
i did not have any big plans,we are putting together a birthday party for mary
we are putting together a birthday party for mary,that sounds like fun where will it be
i am assuming that the dress is casual,dress casually and bring your bathing suit
do you have any hobbies,yes i like collecting things
yes i like collecting things,oh that s interesting and but what kind of things
yes stones,well i can t just image it
well i can t just image it,we are going dancing tonight
we are going dancing tonight,count me out
count me out,good morning mike
good morning mike,morning sally what is up you seem in a hurry
yes it s only eight forty thanks so much,you are welcome good luck bye
you are welcome good luck bye,have a nice day bye
let s go,when shooting a gun accuracy is very important
when shooting a gun accuracy is very important,you only need to tell me that once
would you like to clear the table then,really do i have to do it
really do i have to do it,not if you don t want to
not if you don t want to,well isn t there anything you want
i will try my best,oh what a beautiful garden
what is in it,have a guess
have a guess,a necklace
a necklace,no
no,i have no idea
i have no idea,open it now
easy it s on me,in that case i m right behind you
in that case i m right behind you,what did you do over the weekend
why are you going out with andy,because i like him
hi mikel what is with you you look angry,no i just check my weight i am getting fatter
exercise has no benefit unless you sweat like a pig,well that is not for me
well that is not for me,thanks for coming it was a real blessed
thanks for coming it was a real blessed,it was not as good as you think
it was not as good as you think,you will get used to it mikel trust me
you will get used to it mikel trust me,good morning miss wang how beautiful you look today
good morning miss wang how beautiful you look today,thank you i am wearing make up
thank you i am wearing make up,who taught you to put on make up
can you teach me how to do make up,of course first use eye shadow to heighten your eyes
i think pink eye shadow is popular among chinese girls,how do you protect yourself from chapped lips
how do you protect yourself from chapped lips,i suggest you use lipstick which also accentuates your lips
i suggest you use lipstick which also accentuates your lips,how did you grow such long nails
you look like being on cloud nine,i am
i am,what has made you so happy
what has made you so happy,i think i am in love
i think i am in love,are you who s the lucky girl
are you who s the lucky girl,her name is jenny
her name is jenny,how did you meet her
i guess it was fate working to bring you together,whatever brought us together i am happy
whatever brought us together i am happy,how will you spend this lovely weekend
how will you spend this lovely weekend,i have no idea any suggestions
don t worry i will teach you how to win,ok settled then
ok settled then,see you tomorrow
see you tomorrow,see you
well as we say the rest is history,what is that book you have under your arm
hey lucas how was your trip to paris,it was wonderful but i was so tired
it was wonderful but i was so tired,did you go to the top of the eiffel tower
that is great everyone says french food is wonderful,you will have to try for yourself some day
you will have to try for yourself some day,you have your ducks in a row
were you born in the u s melissa,no i was not i came here in
no i was not i came here in,how old were you
how old were you,i was seventeen
i was seventeen,so did you go to college right away
wow your english is really fluent now,thanks your english is pretty good too
thanks your english is pretty good too,yeah but i was born here
yeah but i was born here,can i help you
sure there is a folk concert tonight,are there any good seats left
are there any good seats left,sorry there are only some seats in the back
sorry there are only some seats in the back,well what time does it begin
well what time does it begin,it begins at p m
it begins at p m,ok i see
ok i see,how many tickets do you want
how many tickets do you want,just two
just two,ok fifty yuan for each
ok fifty yuan for each,here is the money
what are the teams,brazilian against ac millan
brazilian against ac millan,i bet ac milan will lose
hi dude you look upset what is up,have not been sleeping well recently
have not been sleeping well recently,what is the problem
i would better be going,so soon why do not you stay a little longer
so soon why do not you stay a little longer,i wish i could but it s already late
i wish i could but it s already late,oh it s a pity that you have to leave
oh it s a pity that you have to leave,thank you for a wonderful meal
thank you for a wonderful meal,i am glad you enjoyed it
i am glad you enjoyed it,are you an american
that is all right,you seem depressed these days what is the matter
you seem depressed these days what is the matter,i went bankrupt and i am flat broke now
thank you,you re all set now
you re a real friend in need,have not seen you for a long time
have not seen you for a long time,i have been away on a vacation
i have been away on a vacation,i bet you had a wonderful time
i bet you had a wonderful time,yeah beautiful sunshine pleasant scenery and many new friends
yeah beautiful sunshine pleasant scenery and many new friends,sounds great
i regret to say i can not accept your suggestion,have any plans for the weekend tom
thanks i will ask him,has the game started yet
has the game started yet,yeah about minutes ago
yeah about minutes ago,who s winning
who s winning,the bulls of course
the bulls of course,what that was not a foul c mon ref
what that was not a foul c mon ref,don t worry shan always screws up free throws
don t worry shan always screws up free throws,you were right he didn t make the shot
you were right he didn t make the shot,that was a great shot a three pointer yeah
honey do you know what color the carrot is,mom it s orange
mom it s orange,wow my son is so clever
wow my son is so clever,mom that is a stupid question
mom that is a stupid question,really
really,i am not a child at all i know more
i am not a child at all i know more,oh my son looks like a grown up
oh my son looks like a grown up,sure mom i can take care of you
sure mom i can take care of you,no kidding so tell me what is your favorite color
thanks for inviting me to work out with you joan,do not mention it let s go in
she sure can are you jealous leslie,a little i wish i could do that
a little i wish i could do that,you can with a little practice
you can with a little practice,look at him he is buff
look at him he is buff,i think he is hot too
i think he is hot too,how do they all get in such tiptop shape
how do they all get in such tiptop shape,exercised over and over exercise is a key
good for you leslie,wow it that your sports car
wow it that your sports car,yes do you like it
when s the last time you had it serviced,it must have been a few years ago now
anything else,the brakes do not really work that well anymore either
the brakes do not really work that well anymore either,why do not you get it all fixed
hello may i speak to mary please,speaking who s calling please
speaking who s calling please,hi mary this is tom
hi mary this is tom,oh hi tom how have you been
oh hi tom how have you been,just fine i say are not you busy tomorrow evening
sounds like a good idea,okay i will pick you up at
okay i will pick you up at,thank you for inviting me see you then bye tom
i love fruit flavored ices the best,i know fresh fruit flavored is the best ever
i know fresh fruit flavored is the best ever,what is your least favorite ice cream
what is your least favorite ice cream,i do not like peppermint ice cream
i do not like peppermint ice cream,yeah i know what you mean
yeah i know what you mean,one time i tried garlic ice cream
one time i tried garlic ice cream,that could be interesting
good morning paul,hi good morning you are so early today
do you think that there s life on other planets,i think there must be
i think there must be,why is that
no but we are trying to contact them,i suppose you are right
fine today though a bit under the weather last week,martha what is wrong why are you crying
martha what is wrong why are you crying,jake just broke up with me
jake just broke up with me,i am sorry when did this happen
what a jerk he does not deserve you,but it still hurts i thought i loved him
maybe tomorrow i do not feel like it tonight,how about coffee down the street
how about coffee down the street,sure
sure,i got a ninety five on my test
i got a ninety five on my test,so what i got a ninety nine
oh i make a phone call once a month,it s very expensive right
it s very expensive right,yeah
yeah,why not send e mail through the internet
why not send e mail through the internet,is it convenient and cheap
no problem i will tell you,i will appreciate it very much
i will appreciate it very much,can i help you
can i help you,yes i need to apply for a parking permit
yes i need to apply for a parking permit,are you a professor
are you a professor,what are you kidding i am only years old
yes or you can bring it yourself,but i asked them to send it to you directly
i see thank you,you are very welcome
you are very welcome,it s too hot to read
but sometimes summer is more charming than the other seasons,will you be at the family reunion next year
will you be at the family reunion next year,yes we will be there come hell or high water
i have some good news for you,what is that
what is that,jenny is getting married
jenny is getting married,great who s the bridegroom
great who s the bridegroom,tom that lucky guy
my gosh how romantic when s the big day,july the national holiday
july the national holiday,will it be a church wedding or a civil ceremony
will it be a church wedding or a civil ceremony,jenny plans to hold it in church
jenny plans to hold it in church,who is the best man
who is the best man,guess
guess,nobody is ok but you
did you promise him,yes i did
yes i did,ben what are you doing
why,well it s very comfortable just to drift here
well it s very comfortable just to drift here,have you thought about graduate school
have you thought about graduate school,no
peter have you finished your english composition,no but i m working on it
i know i know,do you think you can finish it on time
all right let s call it quits and go home,see great minds think alike
see great minds think alike,tom did you see the film last night
well i do not see the point of arguing this,are you ok
are you ok,yeah why not
yeah why not,because i heard john got married yesterday
because i heard john got married yesterday,oh you went to the wedding
from to months if everything goes well,thank you i appreciate all your help
well speak of the devil,what do you mean
what do you mean,i was just thinking about you the other day
i was just thinking about you the other day,you were
do you have any plans for veteran s day,you mean armistice day
sure,i plan to buy a car this year
tell me if you need help,what is your favorite season
what is your favorite season,i like the freedom of summer with no school
i like the freedom of summer with no school,yeah and all those fun summer sports and activities
oh me too all the family getting together,and i really like the smells and colors of spring
and i really like the smells and colors of spring,i like the feeling then that school is almost over
why,her father is dying
her father is dying,oh that s very sad
oh that s very sad,yeah she s broken up about it poor kid
yeah she s broken up about it poor kid,what did you do
yeah me too,it s rather cold isn t it
it s rather cold isn t it,oh yes it is
oh yes it is,shall i light the stove
shall i light the stove,that s a good idea
that s a good idea,well what s the climate like in your country
well what s the climate like in your country,it s mild but it s not always pleasant
it s mild but it s not always pleasant,which season do you like best
good afternoon sam,good afternoon tina
good afternoon tina,what are you going to do tomorrow
what are you going to do tomorrow,i am not sure yet and you
but i can not skate well,it does not matter i can teach you
it does not matter i can teach you,it s very kind of you
it s very kind of you,can you play tennis
can you play tennis,yes i can
yes i can,it is interesting is not it
it is interesting is not it,yes it s very interesting
yes it s very interesting,can you teach me
let me try oh i missed,throw the ball up high
throw the ball up high,high
oh i hit it,well done
well done,thank you i think i like playing it
thank you i think i like playing it,what was the party like last night jean
how many did you use to take,three every night
three every night,good heavens why did you take so many
i am sure you did,the doctor said i had to be careful
the doctor said i had to be careful,he was quite right
he was quite right,so i stopped drinking coffee late at night instead
so i stopped drinking coffee late at night instead,what a beautiful view
are you studying any languages here,yes i am studying in the foreign languages department
yes i am studying in the foreign languages department,what are you majoring in
what are you majoring in,i am majoring in english
i am majoring in english,is it difficult to learn
you are right,judy your husband has a really nice car
where are you going,we are going to visit my sister in the city
does not your mother live in the city,yes she is lived there for about ten years
see you later,the time has come to say goodbye
the time has come to say goodbye,so soon it seems as if you just got here
oh yes i should be there some time next spring,i will be expecting you then
i will be expecting you then,i do not think the lecture is very interesting
you are spending a very long time on my hair,i am almost done
i am all done now,are you sure you are finished
are you sure you are finished,i do not understand
i do not understand,you did a horrible job on my hair
you did a horrible job on my hair,what is wrong with it
what is wrong with it,i do not like anything about it
i do not like anything about it,i apologize
i apologize,that is fine but i am not paying for it
that is fine but i am not paying for it,excuse me let s try to work this out okay
excuse me let s try to work this out okay,excuse me have you got the time
no thanks i am full,he has to deliver letters every day
he has to deliver letters every day,poor man he must be terribly fed up with it
poor man he must be terribly fed up with it,oh no he likes the job
oh no he likes the job,oh really
i have not seen bill lately how is he,he is still pretty sick
he is still pretty sick,that is too bad what does he have
let me know if there s anything i can do,thanks a lot i will tell him
of course how can i help you,i want to know if i am doing ok
yes please give me your id card a photo,ok here you are
of course as long as the card is well kept,ok i see thank you
ok i see thank you,you are welcome
you are welcome,mr clinton it s nice to see you again
very well how s mrs clinton,not bad but she is as busy as before
not bad but she is as busy as before,how did your interview go
that makes sense who interviewed you,my boss
my boss,what kinds of questions did she ask you
i will do,has the game started yet
are you ready to go shopping,not yet i am not finished with my research yet
not yet i am not finished with my research yet,what research
out of sight out of mind,who do you mean
hi bill are you going to the commencement,yes do you want to go with me
oh have you finished listing your study preferences,yes i have
yes i have,good so which is your top choice
good so which is your top choice,medicine in my country that certainly has great prestige
medicine in my country that certainly has great prestige,i see which subject did you put last then
i see which subject did you put last then,oh history
yes i suppose so,hello mr black i am calling to say goodbye
have you got the ticket,yes i did
yes i did,what time are you going
what time are you going,at o clock
no i will go by myself thanks,ok goodbye
ok goodbye,mark is parade his knowledge again
mark is parade his knowledge again,yeah he s very good at showing off his knowledge
yeah he s very good at showing off his knowledge,a well learned person never does that
a well learned person never does that,they are professors and government officials
they are professors and government officials,where are they from
where are they from,most of them are from america and europe
most of them are from america and europe,what are they doing in beijing
what are they doing in beijing,they are attending an international conference here
they are attending an international conference here,which hotel are they staying at
which hotel are they staying at,they are staying at the hilton hotel
they are staying at the hilton hotel,do you need a ticket
yes it is,can you get it
can you get it,you can be assured of it
you can be assured of it,where to miss
uh yeah of course,did you see that
did you see that,no i missed it
no i missed it,how could you miss that
how could you miss that,someone was in the way
someone was in the way,hello is this eye computers
hello is this eye computers,yeas it is sewen jes speaking how can i help
oh dear i will do well i can,look what you have done
i should think so too,i am very sorry to have caused you this trouble
i am very sorry to have caused you this trouble,yes and please be more careful in the future
yes and please be more careful in the future,i will sir i am really very sorry
i will sir i am really very sorry,that is ok
i am the coolest high tech stud around,why do you have a robot girlfriend
let me see it it s so small,do not you ever cheat on me
do not you ever cheat on me,why would i do that
why would i do that,because men like to cheat
because men like to cheat,some men do but not me
some men do but not me,i am watching you
i am watching you,i am an open book watch me all you want
i am an open book watch me all you want,if i catch you you will be sorry
i will poke your eyes out,i do not want any other woman
i do not want any other woman,i will chop your toes off one by one
do you have any plans for friday night,i do not think so why
the more the merrier,will there be a lot of people there
will there be a lot of people there,i sure hope so we have each invited about people
i sure hope so we have each invited about people,who else is going to be there
that would be great i will see you then,so jack do you believe in ghosts
what did the doctor say,he said that i have been eating too much
he said that i have been eating too much,did he give you any advice
well have you thought of it yet,no
q duck do you mean the famous roast duck store,yes definitely
yes definitely,they have moved to some other places long time ago
you re new here right,yes i am new
yes i am new,is this your first semester
is this your first semester,i just transferred from another school
i just transferred from another school,what school did you transfer from
what school did you transfer from,i came here from pcc
i came here from pcc,do you like it here so far
do you like it here so far,i am really enjoying it here so far
i am really enjoying it here so far,which is better here or pcc
which is better here or pcc,i think pcc is a lot better than here
i think pcc is a lot better than here,why didn t you just stay at pcc
why didn t you just stay at pcc,i graduated and now want to get a ba
what scene,a kitten being run over by a truck
a kitten being run over by a truck,adam i am sorry
great this calls for a celebration,can you imagine having a million dollars
yeah me too,a new car for a start
a new car for a start,david what do you want to do after graduation
hey teresa meet the new neighbors yet,actually i popped in them last night
well they are really beautiful people,i will say she is really stacked is not she
i will say she is really stacked is not she,yeah she is a neck off for sure
yeah she is a neck off for sure,and he looks like a typical jog
and he looks like a typical jog,he is a professional football player
he is a professional football player,ah ha i thought so
ah ha i thought so,anyway that is not what i meant by beautiful
anyway that is not what i meant by beautiful,what did you mean
that is right,yeah i think things are worked out just fine
yeah i think things are worked out just fine,did you get your grades yet
did you get your grades yet,yeah my whole gpa is screwed up now
yeah my whole gpa is screwed up now,why what happened
what was your gpa before this semester,i was sitting happy with a
i was sitting happy with a,why did it go down so much
are you almost finished with my hair,i am almost finished
i am almost finished,how much longer is it going to be
how much longer is it going to be,i am done now do you like it
i am done now do you like it,i absolutely love it
i absolutely love it,you really like it
you really like it,yes i truly do
yes i truly do,i am glad you like it
i am glad you like it,how much do i owe you
how much do i owe you,it s going to be
it s going to be,here you go thanks for everything
here you go thanks for everything,make sure and come back in a couple of weeks
make sure and come back in a couple of weeks,oh hi lily when did you get back from canada
oh hi lily when did you get back from canada,just last week
just last week,how was it
well tell me what are they like,they re nice
they re nice,and lots of dear abby sob stories
so i would rather walk or run to work,you must be joking
you must be joking,what do you think of smoking
maybe it can take effect,hey rachael what is up how is your day
hey rachael what is up how is your day,not bad we have had a big meeting today remember
not bad we have had a big meeting today remember,oh yea i forgot so how did it go
oh yea i forgot so how did it go,pretty well i think the boss liked my ideas
pretty well i think the boss liked my ideas,great so what happens now
i see where are you now li,thirty meters ahead is the waterloo bridge
i am so terribly sorry to keep you waiting,it does not matter bye
it does not matter bye,bye
i would like to introduce myself first,yes please
sheila what time should we meet tomorrow,the usual time half past two in the afternoon
the usual time half past two in the afternoon,what place
what place,the usual place in front of the treasure house
the usual place in front of the treasure house,and what should i wear
and what should i wear,your usual shirt and shoes
your usual shirt and shoes,what are you going to wear
what are you going to wear,nothing unusual i m afraid
nothing unusual i m afraid,sheila how about that fashionable blue dress
sheila how about that fashionable blue dress,good that s something unusual
good that s something unusual,what did you think of the movie
thanks for the sweet words,any time
i tell you i must go,where
where,i have spoken my mind and can go anywhere now
merry christmas mary,merry christmas mr bean
hello kate how are you doing,fine thanks how are you
fine thanks how are you,fine how are your term papers
fine how are your term papers,oh my lord i have not really started them
oh my lord i have not really started them,how could it be they are due two weeks later
my advisor,jack i hear you got promoted is that true
jack i hear you got promoted is that true,yes i think i am lucky
thank you for saying that,why did she do that
do not you see i am trying my best,why is little billy crying
why is little billy crying,he got a scolding
rob lost his bike,what an idiot
what are you reading,i m reading about michael milliken the bond king
do you think that there s life on other planets,i think there must be
i think there must be,why is that
no but we are trying to contact them,i suppose you are right
were i in your position i would go to america,which university should i apply to
you gossip what is the basis of your opinion,someone declared that he saw it
maybe,do you have cold medicine
do you have cold medicine,yes but do you have a prescription with you
yes but do you have a prescription with you,no i do not
yes here this is,i will take it too
i will take it too,thank you and take care
thank you and take care,it s rather cold is not it
it s rather cold is not it,oh yes it is
oh yes it is,shall i light the stove
shall i light the stove,that is a good idea
that is a good idea,well what is the climate like in your country
well what is the climate like in your country,it s mild but it s not always pleasant
it s mild but it s not always pleasant,which season do you like best
where do you work andrea,i work for thomas cook travel
i work for thomas cook travel,oh really what do you do there
oh where do you work,in a fast food restaurant
in a fast food restaurant,which restaurant
which restaurant,hamburger heaven
hurry get a shot hand it over,i knew you would come around
i knew you would come around,when re you getting married
hurry it is time for me to steal something,what is your meaning
what is your meaning,i am stealing vegetables at the happy farm
i am stealing vegetables at the happy farm,you are a thief
bill your work is too messy,i will pay attention to my handwriting next time
i will pay attention to my handwriting next time,is this a promise
is this a promise,yes i am serious this time
yes i am serious this time,our maths teacher is rather humorous
i am sorry to hear that,your family must be busy shopping for christmas now
woo your home will beautiful on christmas,sure our thing
sure our thing,i do wish your christmas and happy new year
i do wish your christmas and happy new year,thanks
thanks,jenny do you want to go to see a movie
jenny do you want to go to see a movie,what is on tonight
what is on tonight,i want to see click
i want to see click,who is in this movie
how long have you been in taiwan,about years so i came here
about years so i came here,so where did you grow up
so where did you grow up,providence rhode island do you know it
providence rhode island do you know it,i am not sure where exactly is it
what is your major,i m majoring in french literature
that is right we got the assignment last week,when is it due
when is it due,next monday
next monday,remind me never to sign up for that course
are you going to the beach this saturday afternoon,it depends on the weather
it depends on the weather,the radio says it will be fine
the radio says it will be fine,that will be great
that will be great,are you studying here
did you say you saw lily alone,yes nobody was with her
yes nobody was with her,where did you say she was
where did you say she was,in thailand
i got my father s goat last night,what did you do to get his goat
we need to elect club officials before the summer starts,i guess we should start with nominees first
yes let me put it on the calendar,how s business
how s business,could not be better
could not be better,are you looking for a course
what kind of course are you looking for,i need to improve my english
have you ever considered taking one of our online courses,i think i prefer face to face instruction better
okay but i have not prepare supper,so let s eat out
so let s eat out,what do you want to eat
what do you want to eat,noodles how about you
noodles how about you,dumplings
dumplings,recently there prevails net love
recently there prevails net love,what is net love
how could you know,i watched the screen display
i watched the screen display,do you know he is ms rebecca
impossible,what shall we do tonight
what shall we do tonight,how about the cinema
what would you suggest to see,oh i do not know it depends
oh i do not know it depends,i want to have mexican food for dinner
ok you win you pick the restaurant this time,tom s dating your sister
tom s dating your sister,are you sure
are you sure,it s almost i would better be going
sorry to hear that,how about next week
how about next week,fine we will be expecting you then
fine we will be expecting you then,you honestly believe the world s improving every year
that s your opinion not mine,how was your date recently
forget about it,are you satisfied with your girlfriend
good luck to you,do you know who ammo hung is
oh really how does the book end,read it yourself and find out
read it yourself and find out,do you know the highest mountain in the world
have people set foot on its peak,yes it has been conquered by many people in history
yes it has been conquered by many people in history,i have been feeling sick for three days
not much better thank you,i am feeling down
i am feeling down,come on cheer up
well a good teacher makes good students,you are quite right
oh certainly when would you like to come,well when will it be convenient for you
well when will it be convenient for you,this weekend would be ok with me
did you know carl is almost fifty,are you sure he does not look that old
are you sure he does not look that old,he told me so himself
he told me so himself,the city has got a traffic problem
the city has got a traffic problem,that means it s developing very fast
that means it s developing very fast,you said it
you said it,problems are inevitable
problems are inevitable,well you seem to enjoy speaking english
what you want to leave early,yes can i
yes can i,do you really need to
do you really need to,yes is it ok with you
yes is it ok with you,is it important
is it important,yes do you mind
yes do you mind,you really have to
you really have to,yes will you let me
yes will you let me,i guess so
i guess so,what sort of things do you grow in your garden
hi kevin how was your year at college,it was great how was your year
it was great how was your year,it was good do you have a girlfriend at school
it was good do you have a girlfriend at school,yes i am dating someone her name is amanda
yes i am dating someone her name is amanda,your tie is handsome
your tie is handsome,oh thank you your skirt looks beautiful too
oh thank you your skirt looks beautiful too,did you say that ted was at your mercy
did you say that ted was at your mercy,sort of yes
i failed the exam because i did not study,serves you right
serves you right,good morning sanyu restaurant may i help you
good morning sanyu restaurant may i help you,what time do you open this evening
what time do you open this evening,we open at sir
yes sir what time would you like your table sir,i am not sure perhaps around pm
davis,thank you mr davis
we will try our best,thank you
thank you,wow this is drop dead gorgeous
wow this is drop dead gorgeous,so no more regret now
clive is ready to explode keep your eyes open,oh man i can not believe it a slam dunk
oh man i can not believe it a slam dunk,good that he resembled his old quick self
good that he resembled his old quick self,look at that pretty girl
look at that pretty girl,wow she is gorgeous
wow she is gorgeous,what are the seasons like in your city
lt s flight no northwest orient airlines,they just announced the boarding call
they just announced the boarding call,then we have got to get going
then we have got to get going,ok bon voyage and a safe landing
ok bon voyage and a safe landing,thank you again for all your help
thank you again for all your help,bye
bye,labor is an abundant resource here
thank you,come in it s nice to see you again
come in it s nice to see you again,it s nice to be here
it s nice to be here,would you care for a drink
would you care for a drink,just a club soda for me please
just a club soda for me please,what can i do for you
what can i do for you,i want to check out these books
i want to check out these books,i need your library card
i need your library card,i have it right here
i have it right here,it seems you have late fees
it seems you have late fees,are you sure
are you sure,yes i m sure
yes i m sure,how much
how much,your late fees come to
your late fees come to,i don t have that right now
i ll do that soon,hi sarah how are you
hi sarah how are you,fine how are you doing
fine how are you doing,ok
ok,what do you want to do
what do you want to do,i am hungry i would like to eat something
i am hungry i would like to eat something,where do you want to go
where do you want to go,i would like to go to an italian restaurant
i would like to go to an italian restaurant,what kind of italian food do you like
what kind of italian food do you like,i like spaghetti do you like spaghetti
i like spaghetti do you like spaghetti,no i do not but i like pizza
no i do not but i like pizza,how was your date with betty
how was your date with betty,let s change the subject
johnson i can not place them,we met them in bermuda last may
we met them in bermuda last may,they have completely slipped my mind
they have completely slipped my mind,the couple with the dogs think back
the couple with the dogs think back,no i do not recall a thing about them
no i do not recall a thing about them,well i have invited them for brunch
well i have invited them for brunch,hmm i must be getting absent minded
hmm i must be getting absent minded,good to see you come on in
good to see you come on in,thank you here s a present for you
thank you here s a present for you,oh you should not but thank you very much
wait a moment i want to go to the toilet,you try to put on a brave face
study study study i want to learn a lot,you re going to take courses
you re going to take courses,yes i m going to take some university courses there
yes i m going to take some university courses there,sounds hard
sounds hard,yes but i think it s probably for the best
yes but i think it s probably for the best,won t you get lonely
ah that sounds interesting,i ll sing you a song
most of my songs are sad sorry,well please sing one that s not sad
well please sing one that s not sad,ok i ll sing san francisco then
ok i ll sing san francisco then,is this zhang lin s home
yes please i am a little thirsty actually,would you like tea or coffee
would you like tea or coffee,coffee please
coffee please,here you are
here you are,would you like to talk over a drink
would you like to talk over a drink,that sounds good how are you doing linda
that sounds good how are you doing linda,just fine are you busy now
just fine are you busy now,no i am just killing time
no i am just killing time,shall we visit our math teacher tomorrow
how about eight o clock tomorrow morning,all right see you tomorrow
how s your mother doing,she is so pretty sick
do you know where you want to transfer to,i don t have the slightest clue
i don t have the slightest clue,what school would you like to go to
what school would you like to go to,i m not sure
i m not sure,you honestly have no idea
you honestly have no idea,pcc is perfectly fine for me
pcc is perfectly fine for me,you might as well stay here
you might as well stay here,that s not a bad idea
that s not a bad idea,pcc is a wonderful institution
pcc is a wonderful institution,you have a point
you have a point,so what are you going to do
so what are you going to do,i m just going to keep going to pcc
i m just going to keep going to pcc,hi walter
i guess so,hello bob this is frank
hello bob this is frank,i know we have met
i know we have met,i did not know you knew frank
